indice,tiempo_s,adc_raw,ecg_filtrado,bpm_estimado
693,1.923768,337,2.779421,
694,1.926544,336,1.861159,
695,1.929320,337,0.880148,
696,1.932096,337,0.241768,
697,1.934872,335,-0.104481,
698,1.937648,334,-0.557831,
699,1.940424,334,-1.190820,
700,1.943200,337,-1.573494,
701,1.945976,338,-1.272226,
702,1.948752,339,-0.383485,
703,1.951528,339,0.719220,
704,1.954304,338,1.640673,
705,1.957080,337,2.016092,
706,1.959856,337,1.790150,
707,1.962632,336,1.151828,
708,1.965408,337,0.410779,
709,1.968184,337,-0.039283,
710,1.970960,336,-0.158428,
711,1.973736,335,-0.286866,
712,1.976512,334,-0.701025,
713,1.979288,334,-1.397006,
714,1.982064,335,-2.042042,
715,1.984840,336,-2.227196,
716,1.987616,337,-1.805183,
717,1.990392,338,-0.911478,
718,1.993168,337,0.041361,
719,1.995944,335,0.434394,
720,1.998720,333,-0.099608,
721,2.001496,332,-1.358446,
722,2.004272,332,-2.764207,
723,2.007048,332,-3.826406,
724,2.009824,333,-4.350201,
725,2.012600,333,-4.375800,
726,2.015376,334,-4.055906,
727,2.018152,334,-3.515664,
728,2.020928,333,-3.007163,
729,2.023704,332,-2.868022,
730,2.026480,330,-3.304359,
731,2.029256,330,-4.236479,
732,2.032032,331,-5.155527,
733,2.034808,332,-5.530916,
734,2.037584,334,-5.152195,
735,2.040360,334,-4.175552,
736,2.043136,335,-3.024188,
737,2.045912,335,-2.014271,
738,2.048688,335,-1.309741,
739,2.051464,334,-1.024444,
740,2.054240,333,-1.207492,
741,2.057016,332,-1.799058,
742,2.059792,331,-2.657207,
743,2.062568,332,-3.505812,
744,2.065344,332,-4.017698,
745,2.068120,331,-4.239748,
746,2.070896,331,-4.405561,
747,2.073672,331,-4.525101,
748,2.076448,332,-4.479717,
749,2.079224,331,-4.313008,
750,2.082000,332,-4.170790,
751,2.084776,332,-4.000177,
752,2.087552,332,-3.759505,
753,2.090328,333,-3.445577,
754,2.093104,333,-3.024142,
755,2.095880,331,-2.781206,
756,2.098656,330,-3.083237,
757,2.101432,330,-3.793663,
758,2.104208,331,-4.402640,
759,2.106984,332,-4.524313,
760,2.109760,333,-4.107745,
761,2.112536,334,-3.308665,
762,2.115312,334,-2.370806,
763,2.118088,332,-1.723722,
764,2.120864,332,-1.666820,
765,2.123640,332,-1.991581,
766,2.126416,332,-2.377027,
767,2.129192,332,-2.692851,
768,2.131968,333,-2.805094,
769,2.134744,335,-2.457085,
770,2.137520,334,-1.690754,
771,2.140296,332,-1.143037,
772,2.143072,330,-1.395323,
773,2.145848,328,-2.498736,
774,2.148624,329,-3.965640,
775,2.151400,331,-4.945846,
776,2.154176,332,-4.957170,
777,2.156952,331,-4.344920,
778,2.159728,331,-3.725361,
779,2.162504,331,-3.327380,
780,2.165280,332,-3.040073,
781,2.168056,332,-2.747648,
